,chromstart,chromend,inter_distance
1,118138644,118204055,0
2,137737263,137803380,19.533208
3,158286571,158352358,20.483191
4,177676147,177739905,19.323789
5,180707464,180773245,2.967559
6,183648104,183713699,2.874859
7,187022561,187095365,3.308862
8,189698368,189767443,2.603003
9,192700456,192763963,2.933013
10,196320065,196387628,3.556102
11,198802304,198867783,2.414676
12,201616162,201682961,2.748379
13,205087694,205149345,3.404733
14,208067715,208129451,2.91837
15,210830897,210898218,2.701446
16,231221646,231288393,20.323428